run_id,repetition,workload_type,arrival_rate_rps,memory_mb,reserved_concurrency,duration_minutes,requests_completed,avg_latency_ms,p95_latency_ms,max_latency_ms,error_rate_percent,lambda_invocations,lambda_avg_duration_ms,lambda_max_duration_ms,throttles,max_concurrency,cold_start_observed
run01,1,sustained,5,128,none,10,3001,86.27,95.7,144.89,0,3016,47.92,196,0,1,yes
run01,2,sustained,5,128,none,10,3001,84.42,92.08,573.82,0,2700,1.537,79.08,0,1,yes
run01,3,sustained,5,128,none,10,3001,84.89,90.95,508.35,0,2700,1.625,30.46,0,1,yes

run02,1,sustained,10,128,none,10,6000,85.19,93.82,673.08,0,5945,1.944,196,0,7,yes
run02,2,sustained,10,128,none,10,6000,85.35,91.92,532.01,0,5320,1.94,288,0,5,yes
run02,3,sustained,10,128,none,10,6000,84.5,90.75,151.41,0,4918,1.883,69.22,0,2,no

run03,1,sustained,20,128,none,10,12001,84.38,90.46,538.84,0,9733,3.204,201,0,10,yes
run03,2,sustained,20,128,none,10,12001,84.97,92.03,468.6,0,9993,1.702,236,0,5,yes
run03,3,sustained,20,128,none,10,12001,84.06,90.84,311.46,0,10038,2.097,246,0,3,yes

run04,1,sustained,50,128,none,10,30001,88.09,95.92,404.16,0,26675,4.331,201,0,7,yes
run04,2,sustained,50,128,none,10,30001,87.75,95.54,208.9,0,25802,4.449,99.08,0,6,no
run04,3,sustained,50,128,none,10,30001,86.27,94.05,516.4,0,25776,4.215,252,0,5,yes
